COUNTRY,POPULATION_2000
China                              ,1268853362
India                              ,1002708291
United States                      ,282338631
Indonesia                          ,224138438
Brazil                             ,175552771
Russia                             ,146731774
Pakistan                           ,146342958
Bangladesh                         ,130406594
Japan                              ,126699784
Nigeria                            ,114311328
Mexico                             ,99926620
Germany                            ,82187909
Philippines                        ,79739825
Vietnam                            ,79060410
Egypt                              ,70492342
Turkey                             ,65666677
Iran                               ,65660289
Ethiopia                           ,64690052
Thailand                           ,62352043
United Kingdom                     ,59522468
France                             ,59381628
Italy                              ,57719337
Ukraine                            ,49153027
