Presidency,President,Party,Home State
1,George Washington,Independent ,Virginia
2,John Adams,Federalist ,Massachusetts
3,Thomas Jefferson,Democratic-Republican ,Virginia
4,James Madison,Democratic-Republican ,Virginia
5,James Monroe,Democratic-Republican ,Virginia
6,John Quincy Adams,Democratic-Republican/National Republican ,Massachusetts
7,Andrew Jackson,Democratic ,Tennessee
8,Martin Van Buren,Democratic ,New York
9,William Henry Harrison,Whig,Ohio
10,John Tyler,Whig,Virginia
11,James K. Polk,Democratic ,Tennessee
12,Zachary Taylor,Whig,Louisiana
13,Millard Fillmore,Whig,New York
14,Franklin Pierce,Democratic ,New Hampshire
15,James Buchanan,Democratic ,Pennsylvania
16,Abraham Lincoln,Republican/National Union,Illinois
17,Andrew Johnson,Democratic/National Union,Tennessee
18,Ulysses S. Grant,Republican ,Ohio
19,Rutherford B. Hayes,Republican ,Ohio
20,James A. Garfield,Republican ,Ohio
21,Chester A. Arthur,Republican ,New York
22,Grover Cleveland,Democratic ,New York
23,Benjamin Harrison,Republican ,Indiana
24,Grover Cleveland (2nd term),Democratic ,New York
25,William McKinley,Republican ,Ohio
26,Theodore Roosevelt,Republican ,New York
27,William Howard Taft,Republican ,Ohio
28,Woodrow Wilson,Democratic ,New Jersey
29,Warren G. Harding,Republican ,Ohio
30,Calvin Coolidge,Republican ,Massachusetts
31,Herbert Hoover,Republican ,Iowa
32,Franklin D. Roosevelt,Democratic,New York
33,Harry S. Truman,Democratic,Missouri
34,Dwight D. Eisenhower,Republican ,Texas
35,John F. Kennedy,Democratic,Massachusetts
36,Lyndon B. Johnson,Democratic,Texas
37,Richard Nixon,Republican,California
38,Gerald Ford,Republican,Michigan
39,Jimmy Carter,Democratic ,Georgia
40,Ronald Reagan,Republican ,California
41,George H. W. Bush,Republican ,Texas
42,Bill Clinton,Democratic ,Arkansas
43,George W. Bush,Republican ,Texas
44,Barack Obama,Democratic   ,Illinois
