"Party","Home State","President","Presidency"
"Independent","Virginia","George Washington","1"
"Federalist","Massachusetts","John Adams","2"
"Democratic-Republican","Virginia","Thomas Jefferson","3"
"Democratic-Republican","Virginia","James Madison","4"
"Democratic-Republican","Virginia","James Monroe","5"
"Democratic-Republican/National Republican","Massachusetts","John Quincy Adams","6"
"Democratic","Tennessee","Andrew Jackson","7"
"Democratic","New York","Martin Van Buren","8"
"Whig","Ohio","William Henry Harrison","9"
"Whig","Virginia","John Tyler","10"
"Democratic","Tennessee","James K. Polk","11"
"Whig","Louisiana","Zachary Taylor","12"
"Whig","New York","Millard Fillmore","13"
"Democratic","New Hampshire","Franklin Pierce","14"
"Democratic","Pennsylvania","James Buchanan","15"
"Republican/National Union","Illinois","Abraham Lincoln","16"
"Democratic/National Union","Tennessee","Andrew Johnson","17"
"Republican","Ohio","Ulysses S. Grant","18"
"Republican","Ohio","Rutherford B. Hayes","19"
"Republican","Ohio","James A. Garfield","20"
"Republican","New York","Chester A. Arthur","21"
"Democratic","New York","Grover Cleveland","22"
"Republican","Indiana","Benjamin Harrison","23"
"Democratic","New York","Grover Cleveland","24"
"Republican","Ohio","William McKinley","25"
"Republican","New York","Theodore Roosevelt","26"
"Republican","Ohio","William Howard Taft","27"
"Democratic","New Jersey","Woodrow Wilson","28"
"Republican","Ohio","Warren G. Harding","29"
"Republican","Massachusetts","Calvin Coolidge","30"
"Republican","Iowa","Herbert Hoover","31"
"Democratic","New York","Franklin D. Roosevelt","32"
"Democratic","Missouri","Harry S. Truman","33"
"Republican","Texas","Dwight D. Eisenhower","34"
"Democratic","Massachusetts","John F. Kennedy","35"
"Democratic","Texas","Lyndon B. Johnson","36"
"Republican","California","Richard Nixon","37"
"Republican","Michigan","Gerald Ford","38"
"Democratic","Georgia","Jimmy Carter","39"
"Republican","California","Ronald Reagan","40"
"Republican","Texas","George H. W. Bush","41"
"Democratic","Arkansas","Bill Clinton","42"
"Republican","Texas","George W. Bush","43"
"Democratic","Illinois","Barack Obama","44"
